g	p	FC
AC5u0009GL000270	5.91E-31	-1.390193903
AC5u0009GL001362	1.62E-31	0.764818963
AC5u0009GL000125	5.62E-32	-1.924730059
AC5u0009GL001196	4.55E-32	1.147203583
AC5u0009GL001214	3.35E-32	0.789463045
AC5u0009GL001494	2.09E-32	2.399227547
AC5u0009GL002042	1.50E-32	-1.172852828
AC5u0009GL001483	1.12E-32	-1.280503713
AC5u0009GL000728	5.65E-33	0.975971266
AC5u0009GL001744	2.60E-33	-2.979145248
AC5u0009GL001307	1.71E-33	-1.746542709
AC5u0009GL000151	3.60E-34	-1.618000079
AC5u0009GL000405	1.34E-34	0.906331839
AC5u0009GL000248	1.08E-34	-2.02845115
AC5u0009GL001530	2.08E-35	-0.732654546
AC5u0009GL001365	1.11E-35	-1.901141547
AC5u0009GL000984	7.00E-36	-1.058390208
AC5u0009GL001034	5.99E-37	-1.430549159
AC5u0009GL001054	2.55E-37	1.488673653
AC5u0009GL000780	3.51E-38	1.674271588
AC5u0009GL002027	3.24E-38	-1.809847065
AC5u0009GL000680	2.05E-38	-1.80650396
AC5u0009GL001245	9.41E-39	-1.338528566
AC5u0009GL000082	8.17E-39	-1.992093762
AC5u0009GL000247	4.98E-39	-2.107014741
AC5u0009GL001497	4.17E-39	3.369627617
AC5u0009GL001200	1.78E-39	-1.942821252
AC5u0009GL000982	7.12E-40	-1.350021649
AC5u0009GL001033	4.71E-41	-1.568210913
AC5u0009GL000603	3.40E-41	-2.213877093
AC5u0009GL002111	2.97E-41	-2.504560098
AC5u0009GL000611	2.33E-42	0.88419668
AC5u0009GL002043	1.11E-42	-1.055591676
AC5u0009GL000359	6.35E-43	-2.352409333
AC5u0009GL001184	1.26E-43	-3.382388232
AC5u0009GL001364	8.30E-44	-1.874450033
AC5u0009GL001521	5.43E-45	-2.946505039
AC5u0009GL000246	2.41E-45	-2.191590503
AC5u0009GL002112	7.71E-46	-2.710447631
AC5u0009GL001520	1.91E-47	-1.413744882
AC5u0009GL001685	2.30E-48	1.592082514
AC5u0009GL000676	4.83E-49	-1.03854436
AC5u0009GL001908	5.79E-50	-1.739437024
AC5u0009GL001493	2.45E-50	2.50251424
AC5u0009GL000606	1.53E-50	2.377160959
AC5u0009GL001684	5.41E-51	1.819588672
AC5u0009GL000679	1.59E-56	-1.751223048
AC5u0009GL001905	1.10E-58	-2.56861915
AC5u0009GL000797	4.82E-59	-2.361858044
AC5u0009GL000360	3.76E-61	-2.551102315
AC5u0009GL000260	4.47E-63	-2.26198822
AC5u0009GL000940	9.05E-64	1.474021118
AC5u0009GL001496	4.38E-64	2.924104137
AC5u0009GL001904	4.91E-65	-2.623967192
AC5u0009GL000955	3.52E-70	-1.333617796
AC5u0009GL000419	9.20E-72	1.599311703
AC5u0009GL000262	3.74E-72	-2.044593
AC5u0009GL001764	3.37E-73	-1.238547252
AC5u0009GL000401	1.05E-73	1.180604455
AC5u0009GL001517	1.32E-74	-4.180650871
AC5u0009GL000796	1.69E-76	-2.279413374
AC5u0009GL000245	7.67E-78	-2.216691637
AC5u0009GL002036	3.03E-79	3.380931066
AC5u0009GL000277	1.04E-79	-3.208323669
AC5u0009GL000357	1.19E-84	-2.579536121
AC5u0009GL001604	1.62E-88	2.277274679
AC5u0009GL000361	9.92E-90	-2.018882037
AC5u0009GL000942	2.35E-93	-1.595768687
AC5u0009GL001182	1.56E-95	4.079071071
AC5u0009GL000795	1.54E-97	-2.144781796
AC5u0009GL001507	3.42E-104	-3.056841101
AC5u0009GL002046	1.47E-104	2.691174072
AC5u0009GL000165	8.04E-106	4.055487253
AC5u0009GL001930	3.08E-107	-3.276981809
AC5u0009GL001603	9.64E-115	2.245853888
AC5u0009GL000911	2.05E-120	4.413023261
AC5u0009GL000420	4.40E-123	1.733346211
AC5u0009GL001662	8.73E-130	-1.607066652
AC5u0009GL001852	1.19E-130	5.365139608
AC5u0009GL001925	3.85E-132	-6.393558583
AC5u0009GL001922	7.22E-134	-6.018335266
AC5u0009GL001926	1.40E-135	-6.211390701
AC5u0009GL000164	4.80E-139	4.097321675
AC5u0009GL001923	1.71E-143	-6.263148047
AC5u0009GL000722	1.81E-145	-3.224060376
AC5u0009GL001661	2.30E-155	-1.865432671
AC5u0009GL001924	1.02E-158	-6.373939242
AC5u0009GL000144	2.65E-159	-4.775836982
AC5u0009GL000143	8.38E-160	-4.656887232
AC5u0009GL000721	3.38E-161	-3.357958119
AC5u0009GL001913	1.49E-161	-6.016470564
AC5u0009GL001508	2.14E-162	-2.890245083
AC5u0009GL001918	2.57E-167	-6.010876922
AC5u0009GL001430	1.68E-169	-3.459294197
AC5u0009GL001505	4.50E-176	-3.133046566
AC5u0009GL000127	7.59E-178	-4.750614892
AC5u0009GL001915	2.77E-181	-6.148214351
AC5u0009GL001912	1.56E-188	-6.056762745
AC5u0009GL001183	6.53E-200	4.191584991
AC5u0009GL001911	3.72E-201	-6.131759048
AC5u0009GL001375	1.72E-205	-4.379847084
AC5u0009GL001506	1.78E-211	-3.117871991
AC5u0009GL002019	1.07E-236	-4.20410011
AC5u0009GL001435	3.05E-294	7.676953213
AC5u0009GL001376	4.86E-308	-4.553776579
AC5u0009GL001377	0	-4.558293605
AC5u0009GL001374	0	-4.347868305
AC5u0009GL001434	0	7.345304592
